Date,Division,CPI Division,Weight_Price_Division,Daily Change (%)
2024-07-03,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0098,0.2659830707152806,0.0094
2024-07-03,MISCELLANEOUS GOODS AND SERVICES,100.0064,0.6151336428571429,0.0
2024-07-03,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-03,CLOTHING AND FOOTWEAR,100.0,2.4942881666666668,0.0
2024-07-03,TRANSPORT,100.1498,718.8269394899169,0.0001
2024-07-03,RECREATION AND CULTURE,99.6195,1.628579858875129,-0.3915
2024-07-03,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-03,ALCOHOLIC BEVERAGES AND TOBACCO,100.0722,0.4740021428571428,0.0361
2024-07-03,HEALTH,100.0,0.347793,0.0
2024-07-03,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,-0.1077
2024-07-03,EDUCATION,100.0,354.7019230853999,0.0
2024-07-03,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-04,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0119,0.2659887815848458,0.0021
2024-07-04,CLOTHING AND FOOTWEAR,100.0,2.4942881666666668,0.0
2024-07-04,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-04,ALCOHOLIC BEVERAGES AND TOBACCO,100.1444,0.4743441428571429,0.0721
2024-07-04,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0609
2024-07-04,EDUCATION,100.0,354.7019230853999,0.0
2024-07-04,HEALTH,100.0,0.347793,0.0
2024-07-04,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.018
2024-07-04,TRANSPORT,100.1498,718.8271152688351,0.0
2024-07-04,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-04,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-05,ALCOHOLIC BEVERAGES AND TOBACCO,100.2166,0.4746861428571428,0.0721
2024-07-05,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-05,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-05,HEALTH,100.0,0.347793,0.0
2024-07-05,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-05,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,-3.3018
2024-07-05,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0127,0.2659907740749644,0.0008
2024-07-05,EDUCATION,100.0,354.7019230853999,0.0
2024-07-05,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-05,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-05,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-05,TRANSPORT,101.684,729.8386405449969,1.5319
2024-07-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0131,0.2659918685413676,0.0004
2024-07-06,TRANSPORT,101.684,729.8386813965246,0.0
2024-07-06,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-06,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-06,HEALTH,100.0,0.347793,0.0
2024-07-06,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-06,EDUCATION,100.0,354.7019230853999,0.0
2024-07-06,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-06,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-06,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-06,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-06,ALCOHOLIC BEVERAGES AND TOBACCO,100.2527,0.4748571428571428,0.036
2024-07-07,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-07,EDUCATION,100.0,354.7019230853999,0.0
2024-07-07,TRANSPORT,101.684,729.8386851008668,0.0
2024-07-07,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-07,HEALTH,100.0,0.347793,0.0
2024-07-07,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-07,ALCOHOLIC BEVERAGES AND TOBACCO,100.2527,0.4748571428571428,0.0
2024-07-07,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-07,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-07,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-07,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-07,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0131,0.2659918685413676,0.0
2024-07-08,TRANSPORT,101.6839,729.8383877806621,-0.0001
2024-07-08,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-08,HEALTH,100.0,0.347793,0.0
2024-07-08,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-08,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-08,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0125,0.2659903811895889,-0.0006
2024-07-08,ALCOHOLIC BEVERAGES AND TOBACCO,100.2166,0.4746861428571428,-0.036
2024-07-08,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-08,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-08,EDUCATION,100.0,354.7019230853999,0.0
2024-07-08,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-08,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-09,TRANSPORT,100.6585,722.4786858934398,-1.0084
2024-07-09,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-09,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-09,EDUCATION,100.0,354.7019230853999,0.0
2024-07-09,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-09,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-09,ALCOHOLIC BEVERAGES AND TOBACCO,100.2166,0.4746861428571428,0.0
2024-07-09,FOOD AND NON-ALCOHOLIC BEVERAGES,99.9875,0.8219316467108871,0.0
2024-07-09,HEALTH,100.0,0.347793,0.0
2024-07-09,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-09,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-09,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0126,0.265990661822,0.0001
2024-07-10,EDUCATION,100.0,354.7019230853999,0.0
2024-07-10,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-10,ALCOHOLIC BEVERAGES AND TOBACCO,100.2166,0.4746861428571428,0.0
2024-07-10,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-10,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-10,FOOD AND NON-ALCOHOLIC BEVERAGES,100.4673,0.8258754562346967,0.4799
2024-07-10,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-10,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0132,0.2659922193318814,0.0006
2024-07-10,TRANSPORT,100.6585,722.4787694067768,0.0
2024-07-10,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-10,HEALTH,100.0,0.347793,0.0
2024-07-10,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-11,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-11,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-11,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-11,HEALTH,100.0,0.347793,0.0
2024-07-11,FOOD AND NON-ALCOHOLIC BEVERAGES,100.4673,0.8258754562346967,0.0
2024-07-11,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-11,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0133,0.2659924719010514,0.0001
2024-07-11,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-11,ALCOHOLIC BEVERAGES AND TOBACCO,100.2527,0.4748571428571428,0.036
2024-07-11,TRANSPORT,102.9474,738.9073721853144,2.2739
2024-07-11,EDUCATION,100.0,354.7019230853999,0.0
2024-07-11,MISCELLANEOUS GOODS AND SERVICES,100.0673,0.6155086428571429,0.0
2024-07-12,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.5165
2024-07-12,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-12,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0147,0.2659959938378103,0.0014
2024-07-12,FOOD AND NON-ALCOHOLIC BEVERAGES,100.4673,0.8258754562346967,0.0
2024-07-12,EDUCATION,100.0,354.7019230853999,0.0
2024-07-12,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-12,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-12,HEALTH,100.0,0.347793,0.0
2024-07-12,ALCOHOLIC BEVERAGES AND TOBACCO,100.2888,0.4750281428571429,0.036
2024-07-12,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-12,TRANSPORT,102.9475,738.9075996676705,0.0001
2024-07-12,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-13,EDUCATION,100.0,354.7019230853999,0.0
2024-07-13,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-13,HEALTH,100.0,0.347793,0.0
2024-07-13,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-13,TRANSPORT,102.9473,738.9064404774409,-0.0002
2024-07-13,ALCOHOLIC BEVERAGES AND TOBACCO,100.3971,0.4755411428571429,0.108
2024-07-13,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-13,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.0
2024-07-13,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-13,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-13,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0173,0.2660030517429486,0.0026
2024-07-13,FOOD AND NON-ALCOHOLIC BEVERAGES,100.4673,0.8258754562346967,0.0
2024-07-14,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.0
2024-07-14,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0174,0.2660033604386008,0.0001
2024-07-14,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-14,FOOD AND NON-ALCOHOLIC BEVERAGES,100.4673,0.8258754562346967,0.0
2024-07-14,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-14,HEALTH,100.0,0.347793,0.0
2024-07-14,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-14,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-14,ALCOHOLIC BEVERAGES AND TOBACCO,100.3971,0.4755411428571429,0.0
2024-07-14,TRANSPORT,102.9473,738.9065121378372,0.0
2024-07-14,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-14,EDUCATION,100.0,354.7019230853999,0.0
2024-07-15,HEALTH,100.0,0.347793,0.0
2024-07-15,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-15,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.0
2024-07-15,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-15,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-15,ALCOHOLIC BEVERAGES AND TOBACCO,100.361,0.4753701428571428,-0.036
2024-07-15,CLOTHING AND FOOTWEAR,96.6982,2.411931666666667,0.0
2024-07-15,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",103.041,0.2740447495690356,3.0231
2024-07-15,TRANSPORT,102.9473,738.9064741277512,0.0
2024-07-15,EDUCATION,100.0,354.7019230853999,0.0
2024-07-15,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-15,FOOD AND NON-ALCOHOLIC BEVERAGES,100.4798,0.8259781229013633,0.0124
2024-07-16,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-16,FOOD AND NON-ALCOHOLIC BEVERAGES,100.6735,0.8275707037837163,0.1928
2024-07-16,EDUCATION,100.0,354.7019230853999,0.0
2024-07-16,ALCOHOLIC BEVERAGES AND TOBACCO,100.361,0.4753701428571428,0.0
2024-07-16,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.0
2024-07-16,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0266,0.2660278162994703,-2.9254
2024-07-16,TRANSPORT,102.9473,738.9067006998594,0.0
2024-07-16,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-16,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-16,HEALTH,100.0288,0.347893,0.0288
2024-07-16,CLOTHING AND FOOTWEAR,96.8532,2.415798333333333,0.1603
2024-07-16,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-17,TRANSPORT,102.9474,738.906828609155,0.0001
2024-07-17,ALCOHOLIC BEVERAGES AND TOBACCO,100.361,0.4753701428571428,0.0
2024-07-17,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.8923,4.639186739130435,0.0
2024-07-17,EDUCATION,100.0,354.7019230853999,0.0
2024-07-17,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.0
2024-07-17,CLOTHING AND FOOTWEAR,96.8532,2.415798333333333,0.0
2024-07-17,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-17,FOOD AND NON-ALCOHOLIC BEVERAGES,100.6735,0.8275707037837163,0.0
2024-07-17,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-17,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0264,0.2660272830978893,-0.0002
2024-07-17,RESTAURANTS AND HOTELS,100.0,1.0745616666666666,0.0
2024-07-17,HEALTH,100.0288,0.347893,0.0
2024-07-18,MISCELLANEOUS GOODS AND SERVICES,100.5841,0.6186870333333333,0.0
2024-07-18,RESTAURANTS AND HOTELS,100.3149,1.077945,0.3149
2024-07-18,FOOD AND NON-ALCOHOLIC BEVERAGES,100.7545,0.8282368287837163,0.0805
2024-07-18,CLOTHING AND FOOTWEAR,96.8532,2.415798333333333,0.0
2024-07-18,TRANSPORT,102.9474,738.9068336447575,0.0
2024-07-18,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0264,0.2660272830978893,0.0
2024-07-18,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-18,ALCOHOLIC BEVERAGES AND TOBACCO,100.3971,0.4755411428571429,0.036
2024-07-18,EDUCATION,100.0,354.7019230853999,0.0
2024-07-18,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-18,HEALTH,100.0288,0.347893,0.0
2024-07-18,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0583
2024-07-19,HEALTH,100.0288,0.347893,0.0
2024-07-19,EDUCATION,100.0,354.7019230853999,0.0
2024-07-19,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-19,MISCELLANEOUS GOODS AND SERVICES,102.207,0.6286694649122807,1.6135
2024-07-19,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3338,0.8329986859265734,0.575
2024-07-19,CLOTHING AND FOOTWEAR,96.1857,2.399148333333333,-0.6892
2024-07-19,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0
2024-07-19,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0262,0.2660266095801027,-0.0002
2024-07-19,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-19,RESTAURANTS AND HOTELS,100.3149,1.077945,0.0
2024-07-19,ALCOHOLIC BEVERAGES AND TOBACCO,100.3249,0.4751991428571429,-0.0719
2024-07-19,TRANSPORT,102.9474,738.9068289074715,0.0
2024-07-20,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0
2024-07-20,CLOTHING AND FOOTWEAR,96.1857,2.399148333333333,0.0
2024-07-20,RECREATION AND CULTURE,99.6374,1.6288720374465575,0.0
2024-07-20,MISCELLANEOUS GOODS AND SERVICES,102.207,0.6286694649122807,0.0
2024-07-20,HEALTH,100.0288,0.347893,0.0
2024-07-20,TRANSPORT,102.9474,738.9068210337136,0.0
2024-07-20,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0262,0.2660266095801027,0.0
2024-07-20,EDUCATION,100.0,354.7019230853999,0.0
2024-07-20,RESTAURANTS AND HOTELS,100.3149,1.077945,0.0
2024-07-20,ALCOHOLIC BEVERAGES AND TOBACCO,100.361,0.4753701428571428,0.036
2024-07-20,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-20,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3338,0.8329986859265734,0.0
2024-07-21,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0
2024-07-21,RESTAURANTS AND HOTELS,100.3149,1.077945,0.0
2024-07-21,CLOTHING AND FOOTWEAR,96.1857,2.399148333333333,0.0
2024-07-21,ALCOHOLIC BEVERAGES AND TOBACCO,100.3249,0.4751991428571429,-0.036
2024-07-21,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3338,0.8329986859265734,0.0
2024-07-21,EDUCATION,100.0,354.7019230853999,0.0
2024-07-21,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0262,0.2660266095801027,0.0
2024-07-21,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-21,TRANSPORT,102.9474,738.906817548461,0.0
2024-07-21,RECREATION AND CULTURE,99.6674,1.6293620374465574,0.0301
2024-07-21,MISCELLANEOUS GOODS AND SERVICES,102.207,0.6286694649122807,0.0
2024-07-21,HEALTH,100.0288,0.347893,0.0
2024-07-22,EDUCATION,100.0,354.7019230853999,0.0
2024-07-22,RECREATION AND CULTURE,99.6674,1.6293620374465574,0.0
2024-07-22,RESTAURANTS AND HOTELS,100.3149,1.077945,0.0
2024-07-22,TRANSPORT,102.9473,738.9064106764697,-0.0001
2024-07-22,MISCELLANEOUS GOODS AND SERVICES,102.207,0.6286694649122807,0.0
2024-07-22,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0263,0.2660268902125138,0.0001
2024-07-22,ALCOHOLIC BEVERAGES AND TOBACCO,100.3249,0.4751991428571429,0.0
2024-07-22,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3338,0.8329986859265734,0.0
2024-07-22,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-22,CLOTHING AND FOOTWEAR,95.529,2.382768333333333,-0.6827
2024-07-22,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0
2024-07-22,HEALTH,100.0288,0.347893,0.0
2024-07-23,RECREATION AND CULTURE,99.6674,1.6293620374465574,0.0
2024-07-23,HEALTH,100.0288,0.347893,0.0
2024-07-23,EDUCATION,100.0,354.7019230853999,0.0
2024-07-23,MISCELLANEOUS GOODS AND SERVICES,102.207,0.6286694649122807,0.0
2024-07-23,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0
2024-07-23,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-23,TRANSPORT,102.9474,738.9067170108126,0.0001
2024-07-23,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",100.0262,0.2660266095801027,-0.0001
2024-07-23,RESTAURANTS AND HOTELS,100.3149,1.077945,0.0
2024-07-23,FOOD AND NON-ALCOHOLIC BEVERAGES,101.3338,0.8329986859265734,0.0
2024-07-23,ALCOHOLIC BEVERAGES AND TOBACCO,100.361,0.4753701428571428,0.036
2024-07-23,CLOTHING AND FOOTWEAR,97.092,2.421755333333333,1.6362
2024-07-24,COMMUNICATION,100.0,0.3188654333333333,0.0
2024-07-24,ALCOHOLIC BEVERAGES AND TOBACCO,100.2527,0.4748571428571428,-0.1079
2024-07-24,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",99.9505,4.641886739130435,0.0
2024-07-24,RECREATION AND CULTURE,99.6674,1.6293620374465574,0.0
2024-07-24,MISCELLANEOUS GOODS AND SERVICES,102.207,0.6286694649122807,0.0
